id,date,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
USA,6/26/20,34404507,2460898,670809,125981,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,6/27/20,35103091,2502411,679308,126483,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,6/28/20,35676955,2542727,685164,126761,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,6/29/20,36337731,2582721,705203,127139,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,6/30/20,37182729,2628753,720631,127787,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/1/20,38057428,2680294,729994,128479,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/2/20,38905070,2735926,781970,129199,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/3/20,39691736,2787598,790404,129858,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/4/20,40310967,2833232,894325,130127,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/5/20,40837732,2882830,906763,130416,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/6/20,41548154,2927021,924148,130777,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/7/20,42429612,2987639,936476,131984,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/8/20,43393799,3047438,953462,132847,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/9/20,44384137,3109997,969111,133845,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
